,210_sales_channels,189_payment_methods,193_sales_planning_tools,18_sales_records,49_inventory_records,5_change_store_space_last_year,184_store_devices,232_type_of_store,6_change_employees_average_salary_last_year,145_number_direct_competitors,186_internet_connection,310_burnout,157_frequency_organize_shelves
157,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Ninguna,En papel,En papel,No cambió,"Dataphone (i.e. card payments),Security cameras,Smartphone",tecnología ,Aumentó 15%,4.0,yes,no,Nunca
158,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Ninguna,En Excel,En Excel,Aumentó 25%,"Analog cash register,Dataphone (i.e. card payments),Security cameras,Smartphone",Micro-restaurant (aka. fondita),No cambió,5.0,yes,yes,Semanalmente
159,WhatsApp,Efectivo,Desconocido,No lo hago,No lo hago,No cambió,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras",Grocery store (aka. nanostore),No cambió,1.0,yes,no,Semanalmente
160,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",En físico ,Software especializado + computadora,Software especializado + computadora,No cambió,"Analog cash register,Dataphone (i.e. card payments),Security cameras,Smartphone",Tailor (sastrería),No cambió,4.0,yes,no,Mensualmente
161,"Llamada a Teléfono celular,WhatsApp",Efectivo,"Aplicación móvil,Excel","Aplicación móvil (i.e. App) + smartphone,En Excel,En papel","Aplicación móvil (i.e. App) + smartphone,En Excel",No cambió,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Grocery store (aka. nanostore),No cambió,7.0,yes,yes,Semanalmente
162,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Transferencia interbancaria",Excel,"En Excel,En papel",En Excel,No cambió,Security cameras,Grocery store (aka. nanostore),40,4.0,yes,no,Diariamente
163,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Micro-restaurant (aka. fondita),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
164,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Smartphone,Productos tradicionales ,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
165,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Cuaderno,En papel,En papel,Aumentó 25%,Analog cash register,productos tradicionales ,Desconocido,5.0,yes,no,Mensualmente
166,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"Analog cash register,Smartphone",Grocery store (aka. nanostore),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
167,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,"Analog cash register,Smartphone",Grocery store (aka. nanostore),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
168,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Smartphone,Micro-restaurant (aka. fondita),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
169,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Analog cash register,Micro-restaurant (aka. fondita),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
170,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Smartphone,Micro-restaurant (aka. fondita),Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
